Date,BRD.RO,DIGI.RO,FP.RO,M.RO,SFG.RO,SNG.RO,SNP.RO,TGN.RO,TLV.RO,WINE.RO
2001-07-24 00:00:00+00:00,34708.51953125,,,,,,,,,
2001-07-25 00:00:00+00:00,34177.265625,,,,,,,,,
2001-07-26 00:00:00+00:00,34000.1796875,,,,,,,,,
2001-07-27 00:00:00+00:00,34177.265625,,,,,,,,,
2001-07-30 00:00:00+00:00,33114.76171875,,,,,,,,,
2001-07-31 00:00:00+00:00,34177.265625,,,,,,,,,
2001-08-01 00:00:00+00:00,34354.34765625,,,,,,,,,
2001-08-02 00:00:00+00:00,34531.43359375,,,,,,,,,
2001-08-03 00:00:00+00:00,34708.51953125,,,,,,,,,
2001-08-06 00:00:00+00:00,35239.76953125,,,,,,,,,
2001-08-07 00:00:00+00:00,36479.359375,,,,,,,,,
2001-08-08 00:00:00+00:00,37010.6171875,,,,,,,,,
2001-08-09 00:00:00+00:00,40375.2109375,,,,,,,,,
2001-08-10 00:00:00+00:00,43208.5625,,,,,,,,,
2001-08-13 00:00:00+00:00,44271.06640625,,,,,,,,,
2001-08-14 00:00:00+00:00,43385.640625,,,,,,,,,
2001-08-15 00:00:00+00:00,43385.640625,,,,,,,,,
2001-08-16 00:00:00+00:00,40375.2109375,,,,,,,,,
2001-08-17 00:00:00+00:00,39135.62109375,,,,,,,,,
2001-08-20 00:00:00+00:00,41437.71875,,,,,,,,,
2001-08-21 00:00:00+00:00,42500.23046875,,,,,,,,,
2001-08-22 00:00:00+00:00,42323.13671875,,,,,,,,,
2001-08-23 00:00:00+00:00,43385.640625,,,,,,,,,
2001-08-24 00:00:00+00:00,44271.06640625,,,,,,,,,
2001-08-27 00:00:00+00:00,44271.06640625,,,,,,,,,
2001-08-28 00:00:00+00:00,44271.06640625,,,,,,,,,
2001-08-29 00:00:00+00:00,44979.40625,,,,,,,,,
2001-08-30 00:00:00+00:00,44093.98828125,,,,,,,,,
2001-08-31 00:00:00+00:00,44448.15234375,,,,,,,,,
2001-09-03 00:00:00+00:00,44448.15234375,,,,,,,,,
2001-09-04 00:00:00+00:00,44271.06640625,,,,,,194.37120056152344,,,
2001-09-05 00:00:00+00:00,44271.06640625,,,,,,165.21551513671875,,,
2001-09-06 00:00:00+00:00,44093.98828125,,,,,,140.5951690673828,,,
2001-09-07 00:00:00+00:00,43739.82421875,,,,,,129.90478515625,,,
2001-09-10 00:00:00+00:00,42323.13671875,,,,,,145.7783966064453,,,
2001-09-11 00:00:00+00:00,41437.71875,,,,,,165.21551513671875,,,
2001-09-12 00:00:00+00:00,40375.2109375,,,,,,187.89218139648438,,,
2001-09-13 00:00:00+00:00,43562.7265625,,,,,,213.80833435058594,,,
2001-09-14 00:00:00+00:00,42677.30859375,,,,,,184.6526336669922,,,
2001-09-17 00:00:00+00:00,41791.890625,,,,,,171.69454956054688,,,
2001-09-18 00:00:00+00:00,40375.2109375,,,,,,168.45504760742188,,,
2001-09-19 00:00:00+00:00,40198.13671875,,,,,,165.21551513671875,,,
