Date,ELCO.TA,ICL.TA,NICE.TA,ORL.TA,PTNR.TA,TEVA.TA
2005-12-08 00:00:00+00:00,3661.73095703125,676.0482177734375,10815.064453125,,2112.17041015625,16828.048828125
2005-12-11 00:00:00+00:00,3677.21337890625,676.0482177734375,10736.1572265625,,2092.135986328125,16935.28515625
2005-12-12 00:00:00+00:00,3671.794189453125,704.5379638671875,10780.5439453125,,2124.763427734375,16819.8046875
2005-12-13 00:00:00+00:00,3653.989013671875,718.7828369140625,10869.3125,,2154.528564453125,16597.08203125
2005-12-14 00:00:00+00:00,3691.922607421875,708.3876342773438,10686.8408203125,,2187.727783203125,16605.3203125
2005-12-15 00:00:00+00:00,3693.470947265625,701.4575805664062,10810.134765625,,2210.051513671875,16935.28515625
2005-12-18 00:00:00+00:00,3677.21337890625,701.4575805664062,11032.0546875,,2201.465576171875,16861.048828125
2005-12-19 00:00:00+00:00,3691.922607421875,706.0776977539062,10992.6044921875,,2203.7548828125,16811.5546875
2005-12-20 00:00:00+00:00,3692.697509765625,708.3876342773438,11219.4580078125,,2232.375244140625,16514.58984375
2005-12-21 00:00:00+00:00,3662.5048828125,712.6226806640625,11253.9814453125,,2231.23046875,16811.5546875
2005-12-22 00:00:00+00:00,3662.5048828125,714.9324340820312,11303.2958984375,,2230.657958984375,16910.544921875
2005-12-25 00:00:00+00:00,3632.313232421875,714.9324340820312,11165.2099609375,,2203.1826171875,16828.048828125
2005-12-26 00:00:00+00:00,3544.834716796875,703.3828735351562,11051.783203125,,2214.630615234375,16819.8046875
2005-12-27 00:00:00+00:00,3488.322021484375,697.2227783203125,11165.2099609375,,2204.3271484375,16786.80078125
2005-12-28 00:00:00+00:00,3437.2275390625,688.7529907226562,10972.8759765625,,2192.30712890625,16498.0859375
2005-12-29 00:00:00+00:00,3446.517822265625,699.5327758789062,10701.6376953125,,2216.920166015625,16564.083984375
2006-01-01 00:00:00+00:00,3442.646728515625,699.5327758789062,10992.6044921875,,2208.33447265625,16531.0859375
2006-01-02 00:00:00+00:00,3545.60888671875,702.9977416992188,11155.3486328125,,2216.347900390625,16795.052734375
2006-01-03 00:00:00+00:00,3562.639892578125,702.2277221679688,11007.3984375,,2229.513427734375,16654.818359375
2006-01-04 00:00:00+00:00,3560.3173828125,732.2574462890625,10736.1572265625,,2223.789306640625,16522.83203125
2006-01-05 00:00:00+00:00,3389.230712890625,709.5422973632812,10553.6884765625,,2143.080078125,16366.1103515625
2006-01-08 00:00:00+00:00,3516.19091796875,709.5422973632812,11007.3984375,,2176.85205078125,16580.57421875
2006-01-09 00:00:00+00:00,3523.15869140625,741.8818359375,11012.3310546875,,2144.224609375,16572.33203125
2006-01-10 00:00:00+00:00,3533.99609375,739.9571533203125,10889.0390625,,2157.39013671875,16795.052734375
2006-01-11 00:00:00+00:00,3557.99560546875,739.1871948242188,11051.783203125,,2152.239013671875,16778.5546875
2006-01-12 00:00:00+00:00,3668.69873046875,743.8070678710938,10977.806640625,,2123.6181640625,16852.79296875
2006-01-15 00:00:00+00:00,3649.344482421875,743.8070678710938,11115.892578125,,2173.41748046875,16679.564453125
2006-01-16 00:00:00+00:00,3718.24365234375,746.1170654296875,11204.6630859375,,2172.2724609375,16720.814453125
2006-01-17 00:00:00+00:00,3677.21337890625,741.8818359375,11219.4580078125,,2157.962890625,16349.60546875
2006-01-18 00:00:00+00:00,3604.444580078125,738.4174194335938,11061.6435546875,,2144.224609375,16374.3515625
2006-01-19 00:00:00+00:00,3615.2822265625,731.872314453125,11406.859375,,2155.672607421875,16382.599609375
2006-01-22 00:00:00+00:00,3611.411376953125,731.872314453125,11673.16796875,,2130.487060546875,16275.3701171875
2006-01-23 00:00:00+00:00,3596.702392578125,719.9375,11722.4833984375,,2130.487060546875,16192.8701171875
2006-01-24 00:00:00+00:00,3653.989013671875,709.5422973632812,11732.349609375,,2152.239013671875,15928.900390625
2006-01-25 00:00:00+00:00,3752.306396484375,732.6419067382812,11840.8447265625,,2171.12841796875,15945.400390625
2006-01-26 00:00:00+00:00,3715.922119140625,722.6325073242188,11880.2978515625,,2156.818115234375,16077.3916015625
2006-01-29 00:00:00+00:00,3656.312255859375,722.6325073242188,11978.9296875,,2168.265869140625,15945.400390625
2006-01-30 00:00:00+00:00,3600.57373046875,733.027099609375,11998.65625,,2141.935302734375,16027.888671875
2006-01-31 00:00:00+00:00,3589.735107421875,713.7777099609375,12008.5205078125,,2136.783447265625,16432.095703125
2006-02-01 00:00:00+00:00,3656.312255859375,719.9375,12052.90234375,,2076.681884765625,16580.57421875
2006-02-02 00:00:00+00:00,3606.765380859375,707.2327880859375,12255.1005859375,,2075.53662109375,16432.095703125
2006-02-05 00:00:00+00:00,3584.315673828125,707.2327880859375,12205.78515625,,2056.07470703125,15862.91015625
2006-02-06 00:00:00+00:00,3561.091552734375,702.613037109375,12151.5361328125,,2027.45458984375,16003.1494140625
2006-02-07 00:00:00+00:00,3553.35107421875,695.6830444335938,11313.1591796875,,2005.703369140625,15780.4189453125
2006-02-08 00:00:00+00:00,3561.091552734375,698.7628173828125,11604.1259765625,,2014.28955078125,15607.1943359375
2006-02-09 00:00:00+00:00,3562.639892578125,706.8478393554688,12062.7666015625,,1968.4971923828125,15739.1689453125
2006-02-12 00:00:00+00:00,3562.639892578125,706.8478393554688,11885.228515625,,2010.8544921875,15805.171875
2006-02-13 00:00:00+00:00,3564.962158203125,694.912841796875,11811.2529296875,,1964.4906005859375,16044.396484375
2006-02-14 00:00:00+00:00,3540.189697265625,679.8982543945312,11549.876953125,,1937.5869140625,16003.1494140625
2006-02-15 00:00:00+00:00,3554.124755859375,680.6678466796875,11387.134765625,,1963.345703125,15879.4091796875
2006-02-16 00:00:00+00:00,3533.99609375,677.5881958007812,11229.3212890625,,1977.6552734375,16069.1396484375
2006-02-19 00:00:00+00:00,3492.96630859375,677.5881958007812,11229.3212890625,,1968.4971923828125,15986.6474609375
2006-02-20 00:00:00+00:00,3470.51611328125,669.5034790039062,11253.9814453125,,1994.827392578125,16110.3837890625
2006-02-21 00:00:00+00:00,3464.3232421875,662.1885375976562,11382.2001953125,,2011.99951171875,16044.396484375
2006-02-22 00:00:00+00:00,3466.64501953125,650.2537841796875,11426.5849609375,,2082.977783203125,16027.888671875
2006-02-23 00:00:00+00:00,3483.67724609375,675.2782592773438,11332.8876953125,,2037.1854248046875,16341.3603515625
2006-02-26 00:00:00+00:00,3507.6748046875,675.2782592773438,11480.8349609375,,2013.7171630859375,16473.341796875
2006-02-27 00:00:00+00:00,3513.09375,689.9078979492188,11579.466796875,,2048.060791015625,16621.818359375
2006-02-28 00:00:00+00:00,3514.64306640625,680.2830200195312,11850.70703125,,2042.9100341796875,16333.1083984375
2006-03-01 00:00:00+00:00,3550.2548828125,673.3532104492188,12102.220703125,,2041.192138671875,16514.58984375
